code,text
G92,Toxische Enzephalopathie
G93,Sonstige Krankheiten des Gehirns
G94,Sonstige Krankheiten des Gehirns bei anderenorts klassifizierten Krankheiten
G95,Sonstige Krankheiten des Rückenmarkes
G96,Sonstige Krankheiten des Zentralnervensystems
G97,"Krankheiten des Nervensystems nach medizinischen Maßnahmen, anderenorts nicht klassifiziert"
G98,"Sonstige Krankheiten des Nervensystems, anderenorts nicht klassifiziert"
G99,Sonstige Krankheiten des Nervensystems bei anderenorts klassifizierten Krankheiten
H00,Hordeolum und Chalazion
H01,Sonstige Entzündung des Augenlides
H02,Sonstige Affektionen des Augenlides
H03,Affektionen des Augenlides bei anderenorts klassifizierten Krankheiten
H04,Affektionen des Tränenapparates
H05,Affektionen der Orbita
H06,Affektionen des Tränenapparates und der Orbita bei anderenorts klassifizierten Krankheiten
H10,Konjunktivitis
H11,Sonstige Affektionen der Konjunktiva
H13,Affektionen der Konjunktiva bei anderenorts klassifizierten Krankheiten
H15,Affektionen der Sklera
H16,Keratitis
H17,Hornhautnarben und -trübungen
H18,Sonstige Affektionen der Hornhaut
H19,Affektionen der Sklera und der Hornhaut bei anderenorts klassifizierten Krankheiten
H20,Iridozyklitis
H21,Sonstige Affektionen der Iris und des Ziliarkörpers
H22,Affektionen der Iris und des Ziliarkörpers bei anderenorts klassifizierten Krankheiten
H25,Cataracta senilis
H26,Sonstige Kataraktformen
H27,Sonstige Affektionen der Linse
H28,Katarakt und sonstige Affektionen der Linse bei anderenorts klassifizierten Krankheiten
H30,Chorioretinitis
H31,Sonstige Affektionen der Aderhaut
H32,Chorioretinale Affektionen bei anderenorts klassifizierten Krankheiten
H33,Netzhautablösung und Netzhautriss
H34,Netzhautgefäßverschluss
H35,Sonstige Affektionen der Netzhaut
H36,Affektionen der Netzhaut bei anderenorts klassifizierten Krankheiten
H40,Glaukom
H42,Glaukom bei anderenorts klassifizierten Krankheiten
H43,Affektionen des Glaskörpers
H44,Affektionen des Augapfels
H45,Affektionen des Glaskörpers und des Augapfels bei anderenorts klassifizierten Krankheiten
H46,Neuritis nervi optici
H47,Sonstige Affektionen des N. opticus [II. Hirnnerv] und der Sehbahn
H48,Affektionen des N. opticus [II. Hirnnerv] und der Sehbahn bei anderenorts klassifizierten Krankheiten
H49,Strabismus paralyticus
H50,Sonstiger Strabismus
H51,Sonstige Störungen der Blickbewegungen
H52,Akkommodationsstörungen und Refraktionsfehler
H53,Sehstörungen
H54,Blindheit und Sehbeeinträchtigung
H55,Nystagmus und sonstige abnorme Augenbewegungen
H57,Sonstige Affektionen des Auges und der Augenanhangsgebilde
H58,Sonstige Affektionen des Auges und der Augenanhangsgebilde bei anderenorts klassifizierten Krankheiten
H59,"Affektionen des Auges und der Augenanhangsgebilde nach medizinischen Maßnahmen, anderenorts nicht klassifiziert"
H60,Otitis externa
H61,Sonstige Krankheiten des äußeren Ohres
H62,Krankheiten des äußeren Ohres bei anderenorts klassifizierten Krankheiten
H65,Nichteitrige Otitis media
H66,Eitrige und nicht näher bezeichnete Otitis media
H67,Otitis media bei anderenorts klassifizierten Krankheiten
H68,Entzündung und Verschluss der Tuba auditiva
H69,Sonstige Krankheiten der Tuba auditiva
H70,Mastoiditis und verwandte Zustände
H71,Cholesteatom des Mittelohres
H72,Trommelfellperforation
H73,Sonstige Krankheiten des Trommelfells
H74,Sonstige Krankheiten des Mittelohres und des Warzenfortsatzes
H75,Sonstige Krankheiten des Mittelohres und des Warzenfortsatzes bei anderenorts klassifizierten Krankheiten
H80,Otosklerose
H81,Störungen der Vestibularfunktion
H82,Schwindelsyndrome bei anderenorts klassifizierten Krankheiten
H83,Sonstige Krankheiten des Innenohres
H90,Hörverlust durch Schallleitungs- oder Schallempfindungsstörung
H91,Sonstiger Hörverlust
H92,Otalgie und Ohrenfluss
H93,"Sonstige Krankheiten des Ohres, anderenorts nicht klassifiziert"
H94,Sonstige Krankheiten des Ohres bei anderenorts klassifizierten Krankheiten
H95,"Krankheiten des Ohres und des Warzenfortsatzes nach medizinischen Maßnahmen, anderenorts nicht klassifiziert"
I00,Rheumatisches Fieber ohne Angabe einer Herzbeteiligung
I01,Rheumatisches Fieber mit Herzbeteiligung
I02,Rheumatische Chorea
I05,Rheumatische Mitralklappenkrankheiten
I06,Rheumatische Aortenklappenkrankheiten
I07,Rheumatische Trikuspidalklappenkrankheiten
I08,Krankheiten mehrerer Herzklappen
I09,Sonstige rheumatische Herzkrankheiten
I10,Essentielle (primäre) Hypertonie
I11,Hypertensive Herzkrankheit
I12,Hypertensive Nierenkrankheit
I13,Hypertensive Herz- und Nierenkrankheit
I15,Sekundäre Hypertonie
I20,Angina pectoris
I21,Akuter Myokardinfarkt
I22,Rezidivierender Myokardinfarkt
I23,Bestimmte akute Komplikationen nach akutem Myokardinfarkt
I24,Sonstige akute ischämische Herzkrankheit
I25,Chronische ischämische Herzkrankheit
I26,Lungenembolie
I27,Sonstige pulmonale Herzkrankheiten
I28,Sonstige Krankheiten der Lungengefäße
I30,Akute Perikarditis
I31,Sonstige Krankheiten des Perikards
I32,Perikarditis bei anderenorts klassifizierten Krankheiten
I33,Akute und subakute Endokarditis
I34,Nichtrheumatische Mitralklappenkrankheiten
I35,Nichtrheumatische Aortenklappenkrankheiten
I36,Nichtrheumatische Trikuspidalklappenkrankheiten
I37,Pulmonalklappenkrankheiten
I38,"Endokarditis, Herzklappe nicht näher bezeichnet"
I39,Endokarditis und Herzklappenkrankheiten bei anderenorts klassifizierten Krankheiten
I40,Akute Myokarditis
I41,Myokarditis bei anderenorts klassifizierten Krankheiten
I42,Kardiomyopathie
I43,Kardiomyopathie bei anderenorts klassifizierten Krankheiten
I44,Atrioventrikulärer Block und Linksschenkelblock
I45,Sonstige kardiale Erregungsleitungsstörungen
I46,Herzstillstand
I47,Paroxysmale Tachykardie
I48,Vorhofflimmern und Vorhofflattern
I49,Sonstige kardiale Arrhythmien
I50,Herzinsuffizienz
I51,Komplikationen einer Herzkrankheit und ungenau beschriebene Herzkrankheit
I52,Sonstige Herzkrankheiten bei anderenorts klassifizierten Krankheiten
I60,Subarachnoidalblutung
I61,Intrazerebrale Blutung
I62,Sonstige nichttraumatische intrakranielle Blutung
I63,Hirninfarkt
I64,"Schlaganfall, nicht als Blutung oder Infarkt bezeichnet"
I65,Verschluss und Stenose präzerebraler Arterien ohne resultierenden Hirninfarkt
I66,Verschluss und Stenose zerebraler Arterien ohne resultierenden Hirninfarkt
I67,Sonstige zerebrovaskuläre Krankheiten
I68,Zerebrovaskuläre Störungen bei anderenorts klassifizierten Krankheiten
I69,Folgen einer zerebrovaskulären Krankheit
I70,Atherosklerose
I71,Aortenaneurysma und -dissektion
I72,Sonstiges Aneurysma und sonstige Dissektion
I73,Sonstige periphere Gefäßkrankheiten
I74,Arterielle Embolie und Thrombose
I77,Sonstige Krankheiten der Arterien und Arteriolen
I78,Krankheiten der Kapillaren
I79,"Krankheiten der Arterien, Arteriolen und Kapillaren bei anderenorts klassifizierten Krankheiten"
I80,"Thrombose, Phlebitis und Thrombophlebitis"
I81,Pfortaderthrombose
I82,Sonstige venöse Embolie und Thrombose
I83,Varizen der unteren Extremitäten
I85,Ösophagusvarizen
I86,Varizen sonstiger Lokalisationen
I87,Sonstige Venenkrankheiten
I88,Unspezifische Lymphadenitis
I89,Sonstige nichtinfektiöse Krankheiten der Lymphgefäße und Lymphknoten
I95,Hypotonie
I97,"Kreislaufkomplikationen nach medizinischen Maßnahmen, anderenorts nicht klassifiziert"
I98,Sonstige Störungen des Kreislaufsystems bei anderenorts klassifizierten Krankheiten
I99,Sonstige und nicht näher bezeichnete Krankheiten des Kreislaufsystems
J00,Akute Rhinopharyngitis [Erkältungsschnupfen]
J01,Akute Sinusitis
J02,Akute Pharyngitis
J03,Akute Tonsillitis
J04,Akute Laryngitis und Tracheitis
J05,Akute obstruktive Laryngitis [Krupp] und Epiglottitis
J06,Akute Infektionen an mehreren oder nicht näher bezeichneten Lokalisationen der oberen Atemwege
J09,Grippe durch zoonotische oder pandemische nachgewiesene Influenzaviren
J10,Grippe durch saisonale nachgewiesene Influenzaviren
J11,"Grippe, Viren nicht nachgewiesen"
J12,"Viruspneumonie, anderenorts nicht klassifiziert"
J13,Pneumonie durch Streptococcus pneumoniae
J14,Pneumonie durch Haemophilus influenzae
J15,"Pneumonie durch Bakterien, anderenorts nicht klassifiziert"
J16,"Pneumonie durch sonstige Infektionserreger, anderenorts nicht klassifiziert"
J17,Pneumonie bei anderenorts klassifizierten Krankheiten
J18,"Pneumonie, Erreger nicht näher bezeichnet"
J20,Akute Bronchitis
J21,Akute Bronchiolitis
J22,"Akute Infektion der unteren Atemwege, nicht näher bezeichnet"
J30,Vasomotorische und allergische Rhinopathie
J31,"Chronische Rhinitis, Rhinopharyngitis und Pharyngitis"
J32,Chronische Sinusitis
J33,Nasenpolyp
J34,Sonstige Krankheiten der Nase und der Nasennebenhöhlen
J35,Chronische Krankheiten der Gaumenmandeln und der Rachenmandel
J36,Peritonsillarabszess
J37,Chronische Laryngitis und Laryngotracheitis
J38,"Krankheiten der Stimmlippen und des Kehlkopfes, anderenorts nicht klassifiziert"
J39,Sonstige Krankheiten der oberen Atemwege
J40,"Bronchitis, nicht als akut oder chronisch bezeichnet"
J41,Einfache und schleimig-eitrige chronische Bronchitis
J42,Nicht näher bezeichnete chronische Bronchitis
J43,Emphysem
J44,Sonstige chronische obstruktive Lungenkrankheit
J45,Asthma bronchiale
J46,Status asthmaticus
J47,Bronchiektasen
J60,Kohlenbergarbeiter-Pneumokoniose
J61,Pneumokoniose durch Asbest und sonstige anorganische Fasern
J62,Pneumokoniose durch Quarzstaub
J63,Pneumokoniose durch sonstige anorganische Stäube
J64,Nicht näher bezeichnete Pneumokoniose
J65,Pneumokoniose in Verbindung mit Tuberkulose
J66,Krankheit der Atemwege durch spezifischen organischen Staub
J67,Allergische Alveolitis durch organischen Staub
J68,"Krankheiten der Atmungsorgane durch Einatmen von chemischen Substanzen, Gasen, Rauch und Dämpfen"
J69,Pneumonie durch feste und flüssige Substanzen
J70,Krankheiten der Atmungsorgane durch sonstige exogene Substanzen
J80,Atemnotsyndrom des Erwachsenen [ARDS]
J81,Lungenödem
J82,"Eosinophiles Lungeninfiltrat, anderenorts nicht klassifiziert"
J84,Sonstige interstitielle Lungenkrankheiten
J85,Abszess der Lunge und des Mediastinums
J86,Pyothorax
J90,"Pleuraerguss, anderenorts nicht klassifiziert"
J91,Pleuraerguss bei anderenorts klassifizierten Krankheiten
J92,Pleuraplaques
J93,Pneumothorax
J94,Sonstige Krankheitszustände der Pleura
J95,"Krankheiten der Atemwege nach medizinischen Maßnahmen, anderenorts nicht klassifiziert"
J96,"Respiratorische Insuffizienz, anderenorts nicht klassifiziert"
J98,Sonstige Krankheiten der Atemwege
J99,Krankheiten der Atemwege bei anderenorts klassifizierten Krankheiten
K00,Störungen der Zahnentwicklung und des Zahndurchbruchs
K01,Retinierte und impaktierte Zähne
K02,Zahnkaries
K03,Sonstige Krankheiten der Zahnhartsubstanzen
K04,Krankheiten der Pulpa und des periapikalen Gewebes
K05,Gingivitis und Krankheiten des Parodonts
K06,Sonstige Krankheiten der Gingiva und des zahnlosen Alveolarkammes
K07,Dentofaziale Anomalien [einschließlich fehlerhafter Okklusion]
K08,Sonstige Krankheiten der Zähne und des Zahnhalteapparates
K09,"Zysten der Mundregion, anderenorts nicht klassifiziert"
K10,Sonstige Krankheiten der Kiefer
K11,Krankheiten der Speicheldrüsen
K12,Stomatitis und verwandte Krankheiten
K13,Sonstige Krankheiten der Lippe und der Mundschleimhaut
K14,Krankheiten der Zunge
K20,Ösophagitis
K21,Gastroösophageale Refluxkrankheit
K22,Sonstige Krankheiten des Ösophagus
K23,Krankheiten des Ösophagus bei anderenorts klassifizierten Krankheiten
K25,Ulcus ventriculi
K26,Ulcus duodeni
K27,"Ulcus pepticum, Lokalisation nicht näher bezeichnet"
K28,Ulcus pepticum jejuni
K29,Gastritis und Duodenitis
K30,Funktionelle Dyspepsie
K31,Sonstige Krankheiten des Magens und des Duodenums
K35,Akute Appendizitis
K36,Sonstige Appendizitis
K37,Nicht näher bezeichnete Appendizitis
K38,Sonstige Krankheiten der Appendix
K40,Hernia inguinalis
K41,Hernia femoralis
K42,Hernia umbilicalis
K43,Hernia ventralis
K44,Hernia diaphragmatica
K45,Sonstige abdominale Hernien
K46,Nicht näher bezeichnete abdominale Hernie
K50,Crohn-Krankheit [Enteritis regionalis] [Morbus Crohn]
K51,Colitis ulcerosa
K52,Sonstige nichtinfektiöse Gastroenteritis und Kolitis
K55,Gefäßkrankheiten des Darmes
K56,Paralytischer Ileus und intestinale Obstruktion ohne Hernie
K57,Divertikulose des Darmes
K58,Reizdarmsyndrom
K59,Sonstige funktionelle Darmstörungen
K60,Fissur und Fistel in der Anal- und Rektalregion
K61,Abszess in der Anal- und Rektalregion
K62,Sonstige Krankheiten des Anus und des Rektums
K63,Sonstige Krankheiten des Darmes
K64,Hämorrhoiden und Perianalvenenthrombose
K65,Peritonitis
K66,Sonstige Krankheiten des Peritoneums
K67,Krankheiten des Peritoneums bei anderenorts klassifizierten Infektionskrankheiten
K70,Alkoholische Leberkrankheit
K71,Toxische Leberkrankheit
K72,"Leberversagen, anderenorts nicht klassifiziert"
K73,"Chronische Hepatitis, anderenorts nicht klassifiziert"
K74,Fibrose und Zirrhose der Leber
K75,Sonstige entzündliche Leberkrankheiten
K76,Sonstige Krankheiten der Leber
K77,Leberkrankheiten bei anderenorts klassifizierten Krankheiten
K80,Cholelithiasis
K81,Cholezystitis
K82,Sonstige Krankheiten der Gallenblase
K83,Sonstige Krankheiten der Gallenwege
K85,Akute Pankreatitis
K86,Sonstige Krankheiten des Pankreas
K87,"Krankheiten der Gallenblase, der Gallenwege und des Pankreas bei anderenorts klassifizierten Krankheiten"
K90,Intestinale Malabsorption
K91,"Krankheiten des Verdauungssystems nach medizinischen Maßnahmen, anderenorts nicht klassifiziert"
K92,Sonstige Krankheiten des Verdauungssystems
K93,Krankheiten sonstiger Verdauungsorgane bei anderenorts klassifizierten Krankheiten
L00,Staphylococcal scalded skin syndrome [SSS-Syndrom]
L01,Impetigo
L02,"Hautabszess, Furunkel und Karbunkel"
L03,Phlegmone
L04,Akute Lymphadenitis
L05,Pilonidalzyste
L08,Sonstige lokale Infektionen der Haut und der Unterhaut
L10,Pemphiguskrankheiten
L11,Sonstige akantholytische Dermatosen
L12,Pemphigoidkrankheiten
L13,Sonstige bullöse Dermatosen
L14,Bullöse Dermatosen bei anderenorts klassifizierten Krankheiten
L20,Atopisches [endogenes] Ekzem
L21,Seborrhoisches Ekzem
L22,Windeldermatitis
L23,Allergische Kontaktdermatitis
L24,Toxische Kontaktdermatitis
L25,Nicht näher bezeichnete Kontaktdermatitis
L26,Exfoliative Dermatitis
L27,"Dermatitis durch oral, enteral oder parenteral aufgenommene Substanzen"
L28,Lichen simplex chronicus und Prurigo
L29,Pruritus
L30,Sonstige Dermatitis
L40,Psoriasis
L41,Parapsoriasis
L42,Pityriasis rosea
L43,Lichen ruber planus
L44,Sonstige papulosquamöse Hautkrankheiten
L45,Papulosquamöse Hautkrankheiten bei anderenorts klassifizierten Krankheiten
L50,Urtikaria
L51,Erythema exsudativum multiforme
L52,Erythema nodosum
L53,Sonstige erythematöse Krankheiten
L54,Erythem bei anderenorts klassifizierten Krankheiten
L55,Dermatitis solaris acuta
L56,Sonstige akute Hautveränderungen durch Ultraviolettstrahlen
L57,Hautveränderungen durch chronische Exposition gegenüber nichtionisierender Strahlung
L58,Radiodermatitis
L59,Sonstige Krankheiten der Haut und der Unterhaut durch Strahleneinwirkung
L60,Krankheiten der Nägel
L62,Krankheiten der Nägel bei anderenorts klassifizierten Krankheiten
L63,Alopecia areata
L64,Alopecia androgenetica
L65,Sonstiger Haarausfall ohne Narbenbildung
L66,Narbige Alopezie [Haarausfall mit Narbenbildung]
L67,Anomalien der Haarfarbe und des Haarschaftes
L68,Hypertrichose
L70,Akne
L71,Rosazea
L72,Follikuläre Zysten der Haut und der Unterhaut
L73,Sonstige Krankheiten der Haarfollikel
L74,Krankheiten der ekkrinen Schweißdrüsen
L75,Krankheiten der apokrinen Schweißdrüsen
L80,Vitiligo
L81,Sonstige Störungen der Hautpigmentierung
L82,Seborrhoische Keratose
L83,Acanthosis nigricans
L84,Hühneraugen und Horn- (Haut-) Schwielen
L85,Sonstige Epidermisverdickung
L86,Keratom bei anderenorts klassifizierten Krankheiten
L87,Störungen der transepidermalen Elimination
L88,Pyoderma gangraenosum
L89,Dekubitalgeschwür und Druckzone
L90,Atrophische Hautkrankheiten
L91,Hypertrophe Hautkrankheiten
L92,Granulomatöse Krankheiten der Haut und der Unterhaut
L93,Lupus erythematodes
L94,Sonstige lokalisierte Krankheiten des Bindegewebes
L95,"Anderenorts nicht klassifizierte Vaskulitis, die auf die Haut begrenzt ist"
L97,"Ulcus cruris, anderenorts nicht klassifiziert"
L98,"Sonstige Krankheiten der Haut und der Unterhaut, anderenorts nicht klassifiziert"
L99,Sonstige Krankheiten der Haut und der Unterhaut bei anderenorts klassifizierten Krankheiten
M00,Eitrige Arthritis
M01,Direkte Gelenkinfektionen bei anderenorts klassifizierten infektiösen und parasitären Krankheiten
M02,Reaktive Arthritiden
M03,Postinfektiöse und reaktive Arthritiden bei anderenorts klassifizierten Krankheiten
M05,Seropositive chronische Polyarthritis
M06,Sonstige chronische Polyarthritis
M07,Arthritis psoriatica und Arthritiden bei gastrointestinalen Grundkrankheiten
M08,Juvenile Arthritis
M09,Juvenile Arthritis bei anderenorts klassifizierten Krankheiten
M10,Gicht
M11,Sonstige Kristall-Arthropathien
M12,Sonstige näher bezeichnete Arthropathien
M13,Sonstige Arthritis
M14,Arthropathien bei sonstigen anderenorts klassifizierten Krankheiten
M15,Polyarthrose
M16,Koxarthrose [Arthrose des Hüftgelenkes]
M17,Gonarthrose [Arthrose des Kniegelenkes]
M18,Rhizarthrose [Arthrose des Daumensattelgelenkes]
M19,Sonstige Arthrose
M20,Erworbene Deformitäten der Finger und Zehen
M21,Sonstige erworbene Deformitäten der Extremitäten
M22,Krankheiten der Patella
M23,Binnenschädigung des Kniegelenkes [internal derangement]
M24,Sonstige näher bezeichnete Gelenkschädigungen
M25,"Sonstige Gelenkkrankheiten, anderenorts nicht klassifiziert"
M30,Panarteriitis nodosa und verwandte Zustände
M31,Sonstige nekrotisierende Vaskulopathien
M32,Systemischer Lupus erythematodes
M33,Dermatomyositis-Polymyositis
M34,Systemische Sklerose
M35,Sonstige Krankheiten mit Systembeteiligung des Bindegewebes
M36,Systemkrankheiten des Bindegewebes bei anderenorts klassifizierten Krankheiten
M40,Kyphose und Lordose
M41,Skoliose
M42,Osteochondrose der Wirbelsäule
M43,Sonstige Deformitäten der Wirbelsäule und des Rückens
M45,Spondylitis ankylosans
M46,Sonstige entzündliche Spondylopathien
M47,Spondylose
M48,Sonstige Spondylopathien
M49,Spondylopathien bei anderenorts klassifizierten Krankheiten
M50,Zervikale Bandscheibenschäden
M51,Sonstige Bandscheibenschäden
M53,"Sonstige Krankheiten der Wirbelsäule und des Rückens, anderenorts nicht klassifiziert"
M54,Rückenschmerzen
M60,Myositis
M61,Kalzifikation und Ossifikation von Muskeln
M62,Sonstige Muskelkrankheiten
M63,Muskelkrankheiten bei anderenorts klassifizierten Krankheiten
M65,Synovitis und Tenosynovitis
M66,Spontanruptur der Synovialis und von Sehnen
M67,Sonstige Krankheiten der Synovialis und der Sehnen
M68,Krankheiten der Synovialis und der Sehnen bei anderenorts klassifizierten Krankheiten
M70,"Krankheiten des Weichteilgewebes im Zusammenhang mit Beanspruchung, Überbeanspruchung und Druck"
M71,Sonstige Bursopathien
M72,Fibromatosen
M73,Krankheiten des Weichteilgewebes bei anderenorts klassifizierten Krankheiten
M75,Schulterläsionen
M76,Enthesopathien der unteren Extremität mit Ausnahme des Fußes
M77,Sonstige Enthesopathien
M79,"Sonstige Krankheiten des Weichteilgewebes, anderenorts nicht klassifiziert"
M80,Osteoporose mit pathologischer Fraktur
M81,Osteoporose ohne pathologische Fraktur
M82,Osteoporose bei anderenorts klassifizierten Krankheiten
M83,Osteomalazie im Erwachsenenalter
M84,Veränderungen der Knochenkontinuität
M85,Sonstige Veränderungen der Knochendichte und -struktur
M86,Osteomyelitis
M87,Knochennekrose
M88,Osteodystrophia deformans [Paget-Krankheit]
M89,Sonstige Knochenkrankheiten
M90,Osteopathien bei anderenorts klassifizierten Krankheiten
M91,Juvenile Osteochondrose der Hüfte und des Beckens
M92,Sonstige juvenile Osteochondrosen
M93,Sonstige Osteochondropathien
M94,Sonstige Knorpelkrankheiten
M95,Sonstige erworbene Deformitäten des Muskel-Skelett-Systems und des Bindegewebes
M96,"Krankheiten des Muskel-Skelett-Systems nach medizinischen Maßnahmen, anderenorts nicht klassifiziert"
M99,"Biomechanische Funktionsstörungen, anderenorts nicht klassifiziert"
N00,Akutes nephritisches Syndrom
N01,Rapid-progressives nephritisches Syndrom
N02,Rezidivierende und persistierende Hämaturie
N03,Chronisches nephritisches Syndrom
N04,Nephrotisches Syndrom
N05,Nicht näher bezeichnetes nephritisches Syndrom
N06,Isolierte Proteinurie mit Angabe morphologischer Veränderungen
N07,"Hereditäre Nephropathie, anderenorts nicht klassifiziert"
N08,Glomeruläre Krankheiten bei anderenorts klassifizierten Krankheiten
N10,Akute tubulointerstitielle Nephritis
N11,Chronische tubulointerstitielle Nephritis
N12,"Tubulointerstitielle Nephritis, nicht als akut oder chronisch bezeichnet"
N13,Obstruktive Uropathie und Refluxuropathie
N14,Arzneimittel- und schwermetallinduzierte tubulointerstitielle und tubuläre Krankheitszustände
N15,Sonstige tubulointerstitielle Nierenkrankheiten
N16,Tubulointerstitielle Nierenkrankheiten bei anderenorts klassifizierten Krankheiten
N17,Akutes Nierenversagen
N18,Chronische Nierenkrankheit
N19,Nicht näher bezeichnete Niereninsuffizienz
N20,Nieren- und Ureterstein
N21,Stein in den unteren Harnwegen
N22,Harnstein bei anderenorts klassifizierten Krankheiten
N23,Nicht näher bezeichnete Nierenkolik
N25,Krankheiten infolge Schädigung der tubulären Nierenfunktion
N26,"Schrumpfniere, nicht näher bezeichnet"
N27,Kleine Niere unbekannter Ursache
N28,"Sonstige Krankheiten der Niere und des Ureters, anderenorts nicht klassifiziert"
N29,Sonstige Krankheiten der Niere und des Ureters bei anderenorts klassifizierten Krankheiten
N30,Zystitis
N31,"Neuromuskuläre Dysfunktion der Harnblase, anderenorts nicht klassifiziert"
N32,Sonstige Krankheiten der Harnblase
N33,Krankheiten der Harnblase bei anderenorts klassifizierten Krankheiten
N34,Urethritis und urethrales Syndrom
N35,Harnröhrenstriktur
N36,Sonstige Krankheiten der Harnröhre
N37,Krankheiten der Harnröhre bei anderenorts klassifizierten Krankheiten
N39,Sonstige Krankheiten des Harnsystems
N40,Prostatahyperplasie
N41,Entzündliche Krankheiten der Prostata
N42,Sonstige Krankheiten der Prostata
N43,Hydrozele und Spermatozele
N44,Hodentorsion und Hydatidentorsion
N45,Orchitis und Epididymitis
N46,Sterilität beim Mann
N47,"Vorhauthypertrophie, Phimose und Paraphimose"
N48,Sonstige Krankheiten des Penis
N49,"Entzündliche Krankheiten der männlichen Genitalorgane, anderenorts nicht klassifiziert"
N50,Sonstige Krankheiten der männlichen Genitalorgane
N51,Krankheiten der männlichen Genitalorgane bei anderenorts klassifizierten Krankheiten
N60,Gutartige Mammadysplasie [Brustdrüsendysplasie]
N61,Entzündliche Krankheiten der Mamma [Brustdrüse]
N62,Hypertrophie der Mamma [Brustdrüse]
N63,Nicht näher bezeichnete Knoten in der Mamma [Brustdrüse]
N64,Sonstige Krankheiten der Mamma [Brustdrüse]
N70,Salpingitis und Oophoritis
N71,"Entzündliche Krankheit des Uterus, ausgenommen der Zervix"
N72,Entzündliche Krankheit der Cervix uteri
N73,Sonstige entzündliche Krankheiten im weiblichen Becken
N74,Entzündung im weiblichen Becken bei anderenorts klassifizierten Krankheiten
N75,Krankheiten der Bartholin-Drüsen
N76,Sonstige entzündliche Krankheit der Vagina und Vulva
N77,Vulvovaginale Ulzeration und Entzündung bei anderenorts klassifizierten Krankheiten
N80,Endometriose
N81,Genitalprolaps bei der Frau
N82,Fisteln mit Beteiligung des weiblichen Genitaltraktes
N83,"Nichtentzündliche Krankheiten des Ovars, der Tuba uterina und des Lig. latum uteri"
N84,Polyp des weiblichen Genitaltraktes
N85,"Sonstige nichtentzündliche Krankheiten des Uterus, ausgenommen der Zervix"
N86,Erosion und Ektropium der Cervix uteri
N87,Dysplasie der Cervix uteri
N88,Sonstige nichtentzündliche Krankheiten der Cervix uteri
N89,Sonstige nichtentzündliche Krankheiten der Vagina
N90,Sonstige nichtentzündliche Krankheiten der Vulva und des Perineums
N91,"Ausgebliebene, zu schwache oder zu seltene Menstruation"
N92,"Zu starke, zu häufige oder unregelmäßige Menstruation"
N93,Sonstige abnorme Uterus- oder Vaginalblutung
N94,Schmerz und andere Zustände im Zusammenhang mit den weiblichen Genitalorganen und dem Menstruationszyklus
N95,Klimakterische Störungen
N96,Neigung zu habituellem Abort
N97,Sterilität der Frau
N98,Komplikationen im Zusammenhang mit künstlicher Befruchtung
N99,"Krankheiten des Urogenitalsystems nach medizinischen Maßnahmen, anderenorts nicht klassifiziert"
O00,Extrauteringravidität
O01,Blasenmole
O02,Sonstige abnorme Konzeptionsprodukte
O03,Spontanabort
O04,Ärztlich eingeleiteter Abort
O05,Sonstiger Abort
O06,Nicht näher bezeichneter Abort
O07,Misslungene Aborteinleitung
O08,"Komplikationen nach Abort, Extrauteringravidität und Molenschwangerschaft"
O09,Schwangerschaftsdauer
O10,"Vorher bestehende Hypertonie, die Schwangerschaft, Geburt und Wochenbett kompliziert"
O11,Chronische Hypertonie mit aufgepfropfter Präeklampsie
O12,Gestationsödeme und Gestationsproteinurie [schwangerschaftsinduziert] ohne Hypertonie
O13,Gestationshypertonie [schwangerschaftsinduzierte Hypertonie]
O14,Präeklampsie
O15,Eklampsie
O16,Nicht näher bezeichnete Hypertonie der Mutter
O20,Blutung in der Frühschwangerschaft
O21,Übermäßiges Erbrechen während der Schwangerschaft
O22,Venenkrankheiten und Hämorrhoiden als Komplikationen in der Schwangerschaft
O23,Infektionen des Urogenitaltraktes in der Schwangerschaft
O24,Diabetes mellitus in der Schwangerschaft
O25,Fehl- und Mangelernährung in der Schwangerschaft
O26,"Betreuung der Mutter bei sonstigen Zuständen, die vorwiegend mit der Schwangerschaft verbunden sind"
O28,Abnorme Befunde bei der Screeninguntersuchung der Mutter zur pränatalen Diagnostik
O29,Komplikationen bei Anästhesie in der Schwangerschaft
O30,Mehrlingsschwangerschaft
O31,"Komplikationen, die für eine Mehrlingsschwangerschaft spezifisch sind"
O32,Betreuung der Mutter bei festgestellter oder vermuteter Lage- und Einstellungsanomalie des Fetus
O33,Betreuung der Mutter bei festgestelltem oder vermutetem Missverhältnis zwischen Fetus und Becken
O34,Betreuung der Mutter bei festgestellter oder vermuteter Anomalie der Beckenorgane
O35,Betreuung der Mutter bei festgestellter oder vermuteter Anomalie oder Schädigung des Fetus
O36,Betreuung der Mutter wegen sonstiger festgestellter oder vermuteter Komplikationen beim Fetus
O40,Polyhydramnion
O41,Sonstige Veränderungen des Fruchtwassers und der Eihäute
O42,Vorzeitiger Blasensprung
O43,Pathologische Zustände der Plazenta
O44,Placenta praevia
O45,Vorzeitige Plazentalösung [Abruptio placentae]
O46,"Präpartale Blutung, anderenorts nicht klassifiziert"
O47,Frustrane Kontraktionen [Unnütze Wehen]
O48,Übertragene Schwangerschaft
O60,Vorzeitige Wehen und Entbindung
O61,Misslungene Geburtseinleitung
O62,Abnorme Wehentätigkeit
O63,Protrahierte Geburt
